PDF_Name,Category,Jurisdiction,Subcategory,PDF_Link
A187209.pdf,Central,Union,Civil/Contract,https://www.indiacode.nic.in/bitstream/123456789/2187/2/A187209.pdf
193003.pdf,Central,Union,Civil/Contract,https://www.indiacode.nic.in/bitstream/123456789/2390/1/193003.pdf
"the_code_of_civil_procedure,_1908.pdf",Central,Union,Civil/Procedure,https://www.indiacode.nic.in/bitstream/123456789/13813/1/the_code_of_civil_procedure%2C_1908.pdf
A1882-04.pdf,Central,Union,Civil/Property,https://www.indiacode.nic.in/bitstream/123456789/2338/1/A1882-04.pdf
A1963-47.pdf,Central,Union,Civil/Remedies,https://www.indiacode.nic.in/bitstream/123456789/1583/7/A1963-47.pdf
Indian Penal Code,Central,Union,Criminal Law,https://www.indiacode.nic.in/repealedfileopen?rfilename=A1860-45.pdf
"the_code_of_criminal_procedure,_1973.pdf",Central,Union,Criminal Law,"https://www.indiacode.nic.in/bitstream/123456789/15272/1/the_code_of_criminal_procedure,_1973.pdf"
iea_1872.pdf,Central,Union,Criminal Law,https://www.indiacode.nic.in/bitstream/123456789/15351/1/iea_1872.pdf
250883_english_01042024.pdf,Central,Union,Criminal Law,https://www.mha.gov.in/sites/default/files/250883_english_01042024.pdf
250884_2_english_01042024.pdf,Central,Union,Criminal Law,https://www.mha.gov.in/sites/default/files/2024-04/250884_2_english_01042024.pdf
250882_english_01042024_0.pdf,Central,Union,Criminal Law,https://www.mha.gov.in/sites/default/files/2024-04/250882_english_01042024_0.pdf
narcotic-drugs-and-psychotropic-substances-act-1985.pdf,Central,Union,Criminal Law,https://www.indiacode.nic.in/bitstream/123456789/18974/1/narcotic-drugs-and-psychotropic-substances-act-1985.pdf 
AA2012-32.pdf,Central,Union,Criminal Law,https://www.indiacode.nic.in/bitstream/123456789/2079/1/AA2012-32.pdf 
A1967-37.pdf,Central,Union,Criminal Law,https://www.mha.gov.in/sites/default/files/A1967-37.pdf
"pc_act,_1988.pdf",Central,Union,Criminal Law,"https://www.indiacode.nic.in/bitstream/123456789/15302/1/pc_act,_1988.pdf"
